VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1C4JJXP67M,Grant,Ephrata,WA,98823,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,13,166335011,POINT (-119.55513 47.31936),PUD NO 2 OF GRANT COUNTY,53025010402
5UXKT0C52G,Thurston,Olympia,WA,98501,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,35,246050626,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067011720
3C3CFFGEXF,Thurston,Yelm,WA,98597,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,2,145792188,POINT (-122.61023 46.94126),PUGET SOUND ENERGY INC,53067012422
5YJSA1E22G,King,Seattle,WA,98116,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,34,6813131,POINT (-122.38679 47.56484),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009701
1N4AZ0CP0D,Thurston,Olympia,WA,98512,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,35,253501132,POINT (-122.9131017 47.0135926),PUGET SOUND ENERGY INC,53067011810
5YJYGDEE1L,Kitsap,Poulsbo,WA,98370,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,23,260199180,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035090201
YV4H60CE6R,Kitsap,Bainbridge Island,WA,98110,2024,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,23,245691435,POINT (-122.5235781 47.6293323),PUGET SOUND ENERGY INC,53035090700
5YJSA1E24G,Snohomish,Snohomish,WA,98290,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,39,107414310,POINT (-122.091505 47.915555),PUGET SOUND ENERGY INC,53061052203
1G1FY6S07K,Skagit,Burlington,WA,98233,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10,476245458,POINT (-122.33079 48.474765),PUGET SOUND ENERGY INC,53057951900
5YJ3E1EA7J,Snohomish,Mukilteo,WA,98275,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,256847594,POINT (-122.299965 47.94171),PUGET SOUND ENERGY INC,53061042005
